FileTable,2,03.06.2025 15:07:23.434;
ListID,number,14;ShortName,char,16;
ListID        |ShortName       |
233           |KV7L0161        |
233           |KV7L0162        |
233           |KV7L0163        |
233           |KV7L0164        |
233           |KV7L0165        |
233           |KV7L0166        |
233           |KV7L0167        |
233           |KV7L0171        |
233           |KV7L0172        |
233           |KV7L0173        |
233           |KV7L0174        |
233           |KV7L0175        |
233           |KV7L0176        |
233           |KV7L0177        |
233           |KV7L0181        |
233           |KV7L0182        |
233           |KV7L0183        |
233           |KV7L0184        |
233           |KV7L0185        |
233           |KV7L0186        |
233           |KV7L0187        |
233           |KV7L0191        |
233           |KV7L0192        |
233           |KV7L0193        |
233           |KV7L0194        |
233           |KV7L0195        |
233           |KV7L0196        |
233           |KV7L0197        |
233           |KV7L0201        |
233           |KV7L0202        |
233           |KV7L0203        |
233           |KV7L0204        |
233           |KV7L0205        |
233           |KV7L0206        |
233           |KV7L0207        |
233           |KV7L0211        |
233           |KV7L0212        |
233           |KV7L0213        |
233           |KV7L0214        |
233           |KV7L0215        |
233           |KV7L0216        |
233           |KV7L0217        |
233           |KV7L0221        |
233           |KV7L0222        |
233           |KV7L0223        |
233           |KV7L0224        |
233           |KV7L0225        |
233           |KV7L0226        |
233           |KV7L0227        |
233           |KV7L0231        |
233           |KV7L0232        |
233           |KV7L0233        |
233           |KV7L0234        |
233           |KV7L0235        |
233           |KV7L0236        |
233           |KV7L0237        |
233           |KV7L0241        |
233           |KV7L0242        |
233           |KV7L0243        |
233           |KV7L0244        |
233           |KV7L0245        |
233           |KV7L0246        |
233           |KV7L0247        |
233           |KV7L0251        |
233           |KV7L0252        |
233           |KV7L0253        |
233           |KV7L0254        |
233           |KV7L0255        |
233           |KV7L0256        |
233           |KV7L0257        |
233           |KV7L0261        |
233           |KV7L0262        |
233           |KV7L0263        |
233           |KV7L0264        |
233           |KV7L0265        |
233           |KV7L0266        |
233           |KV7L0267        |
233           |KV7L0271        |
233           |KV7L0272        |
233           |KV7L0273        |
233           |KV7L0274        |
233           |KV7L0275        |
233           |KV7L0276        |
233           |KV7L0277        |
233           |KV7L0281        |
233           |KV7L0282        |
233           |KV7L0283        |
233           |KV7L0284        |
233           |KV7L0285        |
233           |KV7L0286        |
233           |KV7L0287        |
233           |KV7L0291        |
